region,date,hour,vehicles,weather,weekday,accident,delay
Oslo,2025-01-07,4,1624.32,clear,1,False,1
Bergen,2025-01-07,4,7445.759999999999,rainy,1,False,7
Trondheim,2025-01-07,4,4081.5359999999996,clear,1,False,4
Stavanger,2025-01-07,4,9691.2,rainy,1,False,9
Kristiansand,2025-01-07,4,1537.9199999999998,clear,1,False,1
Tromsø,2025-01-07,4,6600.959999999999,clear,1,False,6
Sandnes,2025-01-07,4,3345.6,clear,1,False,3
Drammen,2025-01-07,4,1281.6,clear,1,False,1
Fredrikstad,2025-01-07,4,1030.08,rainy,1,False,1
Porsgrunn,2025-01-07,4,7518.719999999999,foggy,1,False,7
Ålesund,2025-01-07,4,7996.031999999999,foggy,1,True,28
Haugesund,2025-01-07,4,3887.04,rainy,1,False,3
Tønsberg,2025-01-07,4,1785.6,snowy,1,True,25
Moss,2025-01-07,4,6337.92,clear,1,False,6
Bodø,2025-01-07,4,3084.48,clear,1,False,3
Arendal,2025-01-07,4,2527.68,clear,1,False,2
Hamar,2025-01-07,4,3839.04,clear,1,False,3
Halden,2025-01-07,4,9054.72,clear,1,False,9
Narvik,2025-01-07,4,3360.96,clear,1,False,3
Gjøvik,2025-01-07,4,3158.4,snowy,1,True,16
Oslo,2025-01-07,5,3055.104,foggy,1,True,13
Bergen,2025-01-07,5,5902.08,clear,1,False,5
Trondheim,2025-01-07,5,4049.2799999999997,rainy,1,False,4
Stavanger,2025-01-07,5,4568.831999999999,rainy,1,False,4
Kristiansand,2025-01-07,5,3057.6,clear,1,False,3
Tromsø,2025-01-07,5,2586.24,clear,1,True,10
Sandnes,2025-01-07,5,1221.12,clear,1,False,1
Drammen,2025-01-07,5,961.92,foggy,1,False,0
Fredrikstad,2025-01-07,5,4871.04,rainy,1,False,4
Porsgrunn,2025-01-07,5,6710.4,clear,1,True,24
Ålesund,2025-01-07,5,9106.56,clear,1,True,31
Haugesund,2025-01-07,5,1339.2,foggy,1,False,1
Tønsberg,2025-01-07,5,5812.8,rainy,1,False,5
Moss,2025-01-07,5,4749.12,clear,1,True,33
Bodø,2025-01-07,5,3682.944,clear,1,False,3
Arendal,2025-01-07,5,4280.639999999999,clear,1,False,4
Hamar,2025-01-07,5,4878.72,clear,1,False,4
Halden,2025-01-07,5,1196.1599999999999,clear,1,False,1
Narvik,2025-01-07,5,9951.84,clear,1,False,9
Gjøvik,2025-01-07,5,8864.64,clear,1,False,8
Oslo,2025-01-07,6,1696.896,rainy,1,True,29
Bergen,2025-01-07,6,9004.032,rainy,1,True,34
Trondheim,2025-01-07,6,2130.048,rainy,1,False,2
Stavanger,2025-01-07,6,4643.5199999999995,rainy,1,False,4
Kristiansand,2025-01-07,6,7380.48,clear,1,False,7
Tromsø,2025-01-07,6,8353.152,rainy,1,False,8
Sandnes,2025-01-07,6,8331.264,clear,1,True,27
Drammen,2025-01-07,6,1337.472,clear,1,False,1
Fredrikstad,2025-01-07,6,4074.624,rainy,1,True,11
Porsgrunn,2025-01-07,6,6510.719999999999,clear,1,False,6
Ålesund,2025-01-07,6,3979.2,clear,1,False,3
Haugesund,2025-01-07,6,7182.719999999999,clear,1,False,7
Tønsberg,2025-01-07,6,6912.96,clear,1,False,6
Moss,2025-01-07,6,3039.3599999999997,clear,1,False,3
Bodø,2025-01-07,6,6441.9839999999995,snowy,1,False,6
Arendal,2025-01-07,6,3576.0,clear,1,False,3
Hamar,2025-01-07,6,3862.08,clear,1,False,3
Halden,2025-01-07,6,4840.32,rainy,1,False,4
Narvik,2025-01-07,6,2793.6,clear,1,False,2
Gjøvik,2025-01-07,6,8474.4,rainy,1,False,8
Oslo,2025-01-07,7,13733.279999999999,snowy,1,True,29
Bergen,2025-01-07,7,3776.3999999999996,clear,1,True,22
Trondheim,2025-01-07,7,14990.399999999998,rainy,1,True,23
Stavanger,2025-01-07,7,8350.199999999999,snowy,1,False,8
Kristiansand,2025-01-07,7,10104.48,foggy,1,False,10
Tromsø,2025-01-07,7,20541.6,clear,1,False,20
Sandnes,2025-01-07,7,3722.3999999999996,foggy,1,False,3
Drammen,2025-01-07,7,9374.4,clear,1,False,9
Fredrikstad,2025-01-07,7,6737.04,rainy,1,False,6
Porsgrunn,2025-01-07,7,13652.999999999998,clear,1,False,13
Ålesund,2025-01-07,7,13480.199999999999,rainy,1,True,34
Haugesund,2025-01-07,7,14232.599999999999,clear,1,False,14
Tønsberg,2025-01-07,7,3677.3999999999996,clear,1,False,3
Moss,2025-01-07,7,2033.9999999999998,rainy,1,False,2
Bodø,2025-01-07,7,12803.399999999998,clear,1,False,12
Arendal,2025-01-07,7,14113.439999999999,clear,1,False,14
Hamar,2025-01-07,7,3254.3999999999996,clear,1,False,3
Halden,2025-01-07,7,8868.599999999999,clear,1,False,8
Narvik,2025-01-07,7,1992.6,clear,1,False,1
Gjøvik,2025-01-07,7,14365.8,clear,1,False,14
Oslo,2025-01-07,8,8719.199999999999,clear,1,True,32
Bergen,2025-01-07,8,12394.8,rainy,1,False,12
Trondheim,2025-01-07,8,3338.9999999999995,rainy,1,False,3
Stavanger,2025-01-07,8,4870.799999999999,clear,1,False,4
Kristiansand,2025-01-07,8,12283.199999999999,clear,1,False,12
Tromsø,2025-01-07,8,11062.8,clear,1,True,23
Sandnes,2025-01-07,8,13666.319999999998,snowy,1,False,13
Drammen,2025-01-07,8,3428.9999999999995,clear,1,False,3
Fredrikstad,2025-01-07,8,9462.599999999999,clear,1,False,9
Porsgrunn,2025-01-07,8,8771.4,clear,1,False,8
Ålesund,2025-01-07,8,13429.8,clear,1,False,13
Haugesund,2025-01-07,8,13805.999999999998,rainy,1,True,32
Tønsberg,2025-01-07,8,12193.199999999999,clear,1,False,12
Moss,2025-01-07,8,10313.999999999998,clear,1,True,30
Bodø,2025-01-07,8,17219.519999999997,clear,1,True,42
Arendal,2025-01-07,8,13435.199999999997,clear,1,False,13
Hamar,2025-01-07,8,13551.839999999998,clear,1,False,13
Halden,2025-01-07,8,7227.359999999999,rainy,1,False,7
Narvik,2025-01-07,8,7169.4,foggy,1,False,7
Gjøvik,2025-01-07,8,13662.0,clear,1,False,13
Oslo,2025-01-07,9,13010.399999999998,clear,1,False,13
Bergen,2025-01-07,9,13647.599999999999,clear,1,False,13
Trondheim,2025-01-07,9,10914.48,rainy,1,True,17
Stavanger,2025-01-07,9,3362.3999999999996,clear,1,False,3
Kristiansand,2025-01-07,9,2788.2,rainy,1,False,2
Tromsø,2025-01-07,9,7460.099999999999,clear,1,False,7
Sandnes,2025-01-07,9,5788.799999999999,foggy,1,False,5
Drammen,2025-01-07,9,16422.479999999996,rainy,1,False,16
Fredrikstad,2025-01-07,9,6205.679999999999,rainy,1,True,18
Porsgrunn,2025-01-07,9,6287.759999999999,clear,1,True,19
Ålesund,2025-01-07,9,3045.6,rainy,1,False,3
Haugesund,2025-01-07,9,14128.199999999999,clear,1,True,25
Tønsberg,2025-01-07,9,14165.999999999998,clear,1,True,37
Moss,2025-01-07,9,14217.119999999997,clear,1,False,14
Bodø,2025-01-07,9,12283.919999999998,rainy,1,True,22
Arendal,2025-01-07,9,16780.499999999996,snowy,1,False,16
Hamar,2025-01-07,9,15692.399999999998,clear,1,True,36
Halden,2025-01-07,9,9680.4,clear,1,False,9
Narvik,2025-01-07,9,12409.199999999999,rainy,1,True,30
Gjøvik,2025-01-07,9,4631.4,clear,1,False,4
Oslo,2025-01-07,10,12446.999999999998,clear,1,True,18
Bergen,2025-01-07,10,13532.399999999998,rainy,1,False,13
Trondheim,2025-01-07,10,7849.799999999999,clear,1,False,7
Stavanger,2025-01-07,10,3536.9999999999995,rainy,1,False,3
Kristiansand,2025-01-07,10,13811.399999999998,snowy,1,False,13
Tromsø,2025-01-07,10,10938.599999999999,foggy,1,False,10
Sandnes,2025-01-07,10,3680.64,clear,1,False,3
Drammen,2025-01-07,10,8661.599999999999,clear,1,False,8
Fredrikstad,2025-01-07,10,10713.6,clear,1,False,10
Porsgrunn,2025-01-07,10,10565.999999999998,clear,1,False,10
Ålesund,2025-01-07,10,5706.719999999999,clear,1,False,5
Haugesund,2025-01-07,10,13776.48,clear,1,False,13
Tønsberg,2025-01-07,10,8253.359999999999,clear,1,False,8
Moss,2025-01-07,10,11573.279999999999,clear,1,False,11
Bodø,2025-01-07,10,11867.4,clear,1,False,11
Arendal,2025-01-07,10,17228.699999999997,clear,1,False,17
Hamar,2025-01-07,10,13294.8,clear,1,False,13
Halden,2025-01-07,10,12227.4,clear,1,False,12
Narvik,2025-01-07,10,5774.4,clear,1,False,5
Gjøvik,2025-01-07,10,6151.679999999999,clear,1,True,15
Oslo,2025-01-07,11,3823.4879999999994,rainy,1,False,3
Bergen,2025-01-07,11,6214.08,clear,1,False,6
Trondheim,2025-01-07,11,1240.32,rainy,1,False,1
Stavanger,2025-01-07,11,4140.288,foggy,1,False,4
Kristiansand,2025-01-07,11,2570.88,clear,1,False,2
Tromsø,2025-01-07,11,5767.679999999999,clear,1,False,5
Sandnes,2025-01-07,11,3310.08,clear,1,False,3
Drammen,2025-01-07,11,4483.584,rainy,1,True,20
Fredrikstad,2025-01-07,11,2712.96,snowy,1,True,28
Porsgrunn,2025-01-07,11,1604.7359999999999,rainy,1,False,1
Ålesund,2025-01-07,11,2606.3999999999996,clear,1,False,2
Haugesund,2025-01-07,11,7039.679999999999,clear,1,False,7
Tønsberg,2025-01-07,11,8884.223999999998,snowy,1,True,32
Moss,2025-01-07,11,8312.831999999999,clear,1,False,8
Bodø,2025-01-07,11,3329.28,clear,1,False,3
Arendal,2025-01-07,11,1709.76,clear,1,False,1
Hamar,2025-01-07,11,7133.759999999999,snowy,1,False,7
Halden,2025-01-07,11,5447.808,clear,1,False,5
Narvik,2025-01-07,11,4735.871999999999,clear,1,False,4
Gjøvik,2025-01-07,11,2045.952,foggy,1,True,14
Oslo,2025-01-07,12,2859.8399999999997,clear,1,False,2
Bergen,2025-01-07,12,3032.064,foggy,1,True,22
Trondheim,2025-01-07,12,2512.5119999999997,clear,1,True,19
Stavanger,2025-01-07,12,4937.471999999999,rainy,1,True,29
Kristiansand,2025-01-07,12,10052.64,foggy,1,False,10
Tromsø,2025-01-07,12,3109.248,clear,1,False,3
Sandnes,2025-01-07,12,3654.72,foggy,1,True,21
Drammen,2025-01-07,12,6657.599999999999,clear,1,False,6
Fredrikstad,2025-01-07,12,6932.16,clear,1,False,6
Porsgrunn,2025-01-07,12,6347.5199999999995,clear,1,False,6
Ålesund,2025-01-07,12,8855.423999999999,snowy,1,False,8
Haugesund,2025-01-07,12,2598.72,rainy,1,True,8
Tønsberg,2025-01-07,12,5760.0,rainy,1,False,5
Moss,2025-01-07,12,7214.4,snowy,1,False,7
Bodø,2025-01-07,12,4851.84,clear,1,False,4
Arendal,2025-01-07,12,7715.519999999999,clear,1,False,7
Hamar,2025-01-07,12,4558.08,clear,1,False,4
Halden,2025-01-07,12,5898.24,clear,1,False,5
Narvik,2025-01-07,12,5174.4,foggy,1,True,29
Gjøvik,2025-01-07,12,3198.72,foggy,1,True,26
Oslo,2025-01-07,13,1614.72,clear,1,False,1
Bergen,2025-01-07,13,8651.519999999999,clear,1,False,8
Trondheim,2025-01-07,13,4029.12,clear,1,False,4
Stavanger,2025-01-07,13,1029.12,clear,1,False,1
Kristiansand,2025-01-07,13,4937.759999999999,clear,1,False,4
Tromsø,2025-01-07,13,5187.84,foggy,1,True,14
Sandnes,2025-01-07,13,1641.6,snowy,1,True,29
Drammen,2025-01-07,13,3024.0,clear,1,False,3
Fredrikstad,2025-01-07,13,3578.8799999999997,clear,1,False,3
Porsgrunn,2025-01-07,13,6558.719999999999,clear,1,False,6
Ålesund,2025-01-07,13,2589.12,rainy,1,True,9
Haugesund,2025-01-07,13,1845.12,clear,1,False,1
Tønsberg,2025-01-07,13,7557.12,snowy,1,False,7
Moss,2025-01-07,13,6643.584,clear,1,True,26
Bodø,2025-01-07,13,4859.1359999999995,clear,1,False,4
Arendal,2025-01-07,13,3397.44,clear,1,False,3
Hamar,2025-01-07,13,4789.44,clear,1,False,4
Halden,2025-01-07,13,6425.856,snowy,1,True,26
Narvik,2025-01-07,13,4098.24,clear,1,False,4
Gjøvik,2025-01-07,13,5564.16,clear,1,False,5
Oslo,2025-01-07,14,6142.08,clear,1,True,26
Bergen,2025-01-07,14,7340.16,clear,1,False,7
Trondheim,2025-01-07,14,3317.7599999999998,rainy,1,False,3
Stavanger,2025-01-07,14,2689.9199999999996,clear,1,False,2
Kristiansand,2025-01-07,14,8895.743999999999,foggy,1,False,8
Tromsø,2025-01-07,14,5597.567999999999,rainy,1,False,5
Sandnes,2025-01-07,14,3086.2079999999996,rainy,1,False,3
Drammen,2025-01-07,14,6742.08,clear,1,False,6
Fredrikstad,2025-01-07,14,4154.88,clear,1,False,4
Porsgrunn,2025-01-07,14,6895.679999999999,clear,1,False,6
Ålesund,2025-01-07,14,7129.727999999999,rainy,1,False,7
Haugesund,2025-01-07,14,2870.4,foggy,1,False,2
Tønsberg,2025-01-07,14,6168.96,clear,1,False,6
Moss,2025-01-07,14,5717.76,clear,1,False,5
Bodø,2025-01-07,14,5779.2,rainy,1,False,5
Arendal,2025-01-07,14,5801.471999999999,clear,1,False,5
Hamar,2025-01-07,14,1131.84,foggy,1,False,1
Halden,2025-01-07,14,2680.704,clear,1,False,2
Narvik,2025-01-07,14,1773.12,foggy,1,False,1
Gjøvik,2025-01-07,14,5473.92,clear,1,False,5
Oslo,2025-01-07,15,11357.999999999998,clear,1,False,11
Bergen,2025-01-07,15,11203.199999999999,rainy,1,False,11
Trondheim,2025-01-07,15,4368.599999999999,foggy,1,False,4
Stavanger,2025-01-07,15,11732.4,clear,1,False,11
Kristiansand,2025-01-07,15,7246.799999999998,snowy,1,True,14
Tromsø,2025-01-07,15,6595.199999999999,clear,1,False,6
Sandnes,2025-01-07,15,6944.4,foggy,1,False,6
Drammen,2025-01-07,15,3387.5999999999995,clear,1,False,3
Fredrikstad,2025-01-07,15,4249.799999999999,clear,1,False,4
Porsgrunn,2025-01-07,15,11108.88,clear,1,False,11
Ålesund,2025-01-07,15,4363.2,clear,1,False,4
Haugesund,2025-01-07,15,11542.499999999998,foggy,1,False,11
Tønsberg,2025-01-07,15,5005.799999999999,foggy,1,False,5
Moss,2025-01-07,15,13942.799999999997,clear,1,False,13
Bodø,2025-01-07,15,16441.92,clear,1,False,16
Arendal,2025-01-07,15,11692.08,clear,1,True,21
Hamar,2025-01-07,15,8480.159999999998,clear,1,False,8
Halden,2025-01-07,15,18713.699999999997,clear,1,False,18
Narvik,2025-01-07,15,13145.759999999998,clear,1,False,13
Gjøvik,2025-01-07,15,17033.76,clear,1,False,17
Oslo,2025-01-07,16,5067.359999999999,clear,1,True,12
Bergen,2025-01-07,16,15249.599999999997,rainy,1,False,15
Trondheim,2025-01-07,16,6312.599999999999,rainy,1,True,28
Stavanger,2025-01-07,16,6802.199999999999,rainy,1,True,15
Kristiansand,2025-01-07,16,9755.999999999998,rainy,1,False,9
Tromsø,2025-01-07,16,8294.4,clear,1,False,8
Sandnes,2025-01-07,16,12848.4,clear,1,False,12
Drammen,2025-01-07,16,8292.239999999998,clear,1,False,8
Fredrikstad,2025-01-07,16,10416.599999999999,clear,1,False,10
Porsgrunn,2025-01-07,16,10488.96,clear,1,False,10
Ålesund,2025-01-07,16,4067.2799999999993,clear,1,False,4
Haugesund,2025-01-07,16,2102.3999999999996,clear,1,False,2
Tønsberg,2025-01-07,16,11435.4,rainy,1,True,21
Moss,2025-01-07,16,2629.7999999999997,clear,1,False,2
Bodø,2025-01-07,16,13577.399999999998,snowy,1,True,31
Arendal,2025-01-07,16,4622.4,clear,1,False,4
Hamar,2025-01-07,16,6060.599999999999,foggy,1,True,22
Halden,2025-01-07,16,7117.199999999999,rainy,1,False,7
Narvik,2025-01-07,16,12833.999999999998,clear,1,True,33
Gjøvik,2025-01-07,16,3015.3599999999997,clear,1,False,3
Oslo,2025-01-07,17,15917.039999999997,rainy,1,False,15
Bergen,2025-01-07,17,13640.399999999998,clear,1,False,13
Trondheim,2025-01-07,17,15564.96,foggy,1,True,20
Stavanger,2025-01-07,17,14277.599999999997,rainy,1,False,14
Kristiansand,2025-01-07,17,7750.799999999999,clear,1,False,7
Tromsø,2025-01-07,17,4334.4,clear,1,False,4
Sandnes,2025-01-07,17,3416.3999999999996,rainy,1,False,3
Drammen,2025-01-07,17,13711.679999999998,clear,1,False,13
Fredrikstad,2025-01-07,17,9840.599999999999,clear,1,False,9
Porsgrunn,2025-01-07,17,2646.0,clear,1,False,2
Ålesund,2025-01-07,17,19685.699999999997,foggy,1,False,19
Haugesund,2025-01-07,17,7512.48,clear,1,False,7
Tønsberg,2025-01-07,17,2695.6799999999994,snowy,1,False,2
Moss,2025-01-07,17,15247.439999999999,clear,1,False,15
Bodø,2025-01-07,17,4177.44,rainy,1,False,4
Arendal,2025-01-07,17,4294.799999999999,snowy,1,True,33
Hamar,2025-01-07,17,10679.039999999999,snowy,1,False,10
Halden,2025-01-07,17,7019.999999999999,clear,1,False,7
Narvik,2025-01-07,17,9134.099999999999,rainy,1,False,9
Gjøvik,2025-01-07,17,6953.4,clear,1,False,6
Oslo,2025-01-07,18,9192.96,snowy,1,False,9
Bergen,2025-01-07,18,4164.48,clear,1,True,9
Trondheim,2025-01-07,18,4906.3679999999995,snowy,1,False,4
Stavanger,2025-01-07,18,5757.12,rainy,1,False,5
Kristiansand,2025-01-07,18,5942.015999999999,clear,1,False,5
Tromsø,2025-01-07,18,5925.12,clear,1,False,5
Sandnes,2025-01-07,18,1554.24,snowy,1,False,1
Drammen,2025-01-07,18,3860.16,clear,1,False,3
Fredrikstad,2025-01-07,18,1887.36,clear,1,False,1
Porsgrunn,2025-01-07,18,1959.552,clear,1,False,1
Ålesund,2025-01-07,18,3470.4,clear,1,False,3
Haugesund,2025-01-07,18,3339.8399999999997,snowy,1,False,3
Tønsberg,2025-01-07,18,4284.48,clear,1,False,4
Moss,2025-01-07,18,6445.44,clear,1,False,6
Bodø,2025-01-07,18,1934.2079999999999,clear,1,False,1
Arendal,2025-01-07,18,5527.295999999999,clear,1,True,18
Hamar,2025-01-07,18,6608.16,rainy,1,False,6
Halden,2025-01-07,18,6847.679999999999,clear,1,False,6
Narvik,2025-01-07,18,7382.4,rainy,1,True,22
Gjøvik,2025-01-07,18,7643.5199999999995,foggy,1,False,7
Oslo,2025-01-07,19,4229.28,clear,1,False,4
Bergen,2025-01-07,19,2726.4,clear,1,False,2
Trondheim,2025-01-07,19,2669.7599999999998,snowy,1,False,2
Stavanger,2025-01-07,19,6155.5199999999995,rainy,1,True,32
Kristiansand,2025-01-07,19,5164.416,clear,1,False,5
Tromsø,2025-01-07,19,4837.44,foggy,1,False,4
Sandnes,2025-01-07,19,1302.72,clear,1,False,1
Drammen,2025-01-07,19,2395.2,clear,1,False,2
Fredrikstad,2025-01-07,19,3298.56,clear,1,False,3
Porsgrunn,2025-01-07,19,5727.36,clear,1,False,5
Ålesund,2025-01-07,19,7382.4,clear,1,True,23
Haugesund,2025-01-07,19,3140.352,clear,1,True,27
Tønsberg,2025-01-07,19,2543.04,foggy,1,True,24
Moss,2025-01-07,19,2043.648,clear,1,False,2
Bodø,2025-01-07,19,6905.28,clear,1,True,19
Arendal,2025-01-07,19,1782.72,rainy,1,False,1
Hamar,2025-01-07,19,1709.76,foggy,1,False,1
Halden,2025-01-07,19,3575.5199999999995,clear,1,False,3
Narvik,2025-01-07,19,3749.7599999999993,rainy,1,True,18
Gjøvik,2025-01-07,19,1866.24,rainy,1,False,1
Oslo,2025-01-07,20,5371.2,foggy,1,False,5
Bergen,2025-01-07,20,5444.639999999999,clear,1,False,5
Trondheim,2025-01-07,20,10920.96,rainy,1,False,10
Stavanger,2025-01-07,20,2027.5199999999998,clear,1,False,2
Kristiansand,2025-01-07,20,2187.36,clear,1,False,2
Tromsø,2025-01-07,20,5578.5599999999995,foggy,1,True,27
Sandnes,2025-01-07,20,4938.24,rainy,1,False,4
Drammen,2025-01-07,20,3055.104,snowy,1,False,3
Fredrikstad,2025-01-07,20,2700.2879999999996,rainy,1,True,27
Porsgrunn,2025-01-07,20,7349.76,clear,1,False,7
Ålesund,2025-01-07,20,6875.1359999999995,clear,1,True,17
Haugesund,2025-01-07,20,1269.12,snowy,1,False,1
Tønsberg,2025-01-07,20,3729.6,rainy,1,False,3
Moss,2025-01-07,20,2611.2,rainy,1,False,2
Bodø,2025-01-07,20,1823.04,clear,1,False,1
Arendal,2025-01-07,20,8613.503999999999,snowy,1,False,8
Hamar,2025-01-07,20,2424.96,snowy,1,False,2
Halden,2025-01-07,20,3952.5119999999997,clear,1,False,3
Narvik,2025-01-07,20,5907.456,clear,1,False,5
Gjøvik,2025-01-07,20,3044.7359999999994,clear,1,False,3
Oslo,2025-01-07,21,8654.975999999999,clear,1,False,8
Bergen,2025-01-07,21,5163.84,clear,1,False,5
Trondheim,2025-01-07,21,1780.8,snowy,1,False,1
Stavanger,2025-01-07,21,3902.3999999999996,foggy,1,True,31
Kristiansand,2025-01-07,21,2556.48,clear,1,False,2
Tromsø,2025-01-07,21,6966.719999999999,clear,1,False,6
Sandnes,2025-01-07,21,8262.144,clear,1,False,8
Drammen,2025-01-07,21,6253.056,clear,1,True,17
Fredrikstad,2025-01-07,21,3148.7999999999997,clear,1,False,3
Porsgrunn,2025-01-07,21,2595.456,clear,1,False,2
Ålesund,2025-01-07,21,1509.12,clear,1,False,1
Haugesund,2025-01-07,21,7079.04,rainy,1,False,7
Tønsberg,2025-01-07,21,1513.9199999999998,clear,1,False,1
Moss,2025-01-07,21,6129.599999999999,clear,1,False,6
Bodø,2025-01-07,21,1511.04,snowy,1,False,1
Arendal,2025-01-07,21,8172.0,rainy,1,False,8
Hamar,2025-01-07,21,3591.3599999999997,clear,1,False,3
Halden,2025-01-07,21,6907.2,clear,1,False,6
Narvik,2025-01-07,21,7289.28,clear,1,False,7
Gjøvik,2025-01-07,21,7956.863999999999,clear,1,True,30
Oslo,2025-01-07,22,4131.072,clear,1,False,4
Bergen,2025-01-07,22,2144.64,clear,1,False,2
Trondheim,2025-01-07,22,4280.831999999999,clear,1,False,4
Stavanger,2025-01-07,22,5313.023999999999,foggy,1,True,24
Kristiansand,2025-01-07,22,2731.392,clear,1,False,2
Tromsø,2025-01-07,22,3605.7599999999998,clear,1,False,3
Sandnes,2025-01-07,22,5654.4,rainy,1,False,5
Drammen,2025-01-07,22,5603.3279999999995,rainy,1,True,15
Fredrikstad,2025-01-07,22,7362.432,clear,1,False,7
Porsgrunn,2025-01-07,22,2136.96,clear,1,False,2
Ålesund,2025-01-07,22,7333.44,clear,1,False,7
Haugesund,2025-01-07,22,1047.36,foggy,1,False,1
Tønsberg,2025-01-07,22,5645.952,foggy,1,False,5
Moss,2025-01-07,22,2997.12,clear,1,False,2
Bodø,2025-01-07,22,1668.0959999999998,clear,1,True,16
